AIANNHCE,AIANNHNS,AIANNH_Geoname,AIANNH_Geoname_Full,ANRC_FIPS,ANRCNS,GEOIDFQ,ANCSA_Region,ANCSA_Region_Full
6030,02418758,"Akutan","Akutan ANVSA",01570,02419297,2300000US0201570,"Aleut","Aleut Alaska Native Regional Corporation"
7390,02419230,"St. Paul","St. Paul ANVSA",01570,02419297,2300000US0201570,"Aleut","Aleut Alaska Native Regional Corporation"
7695,02419277,"Unalaska","Unalaska ANVSA",01570,02419297,2300000US0201570,"Aleut","Aleut Alaska Native Regional Corporation"
6150,02418779,"Atka","Atka ANVSA",01570,02419297,2300000US0201570,"Aleut","Aleut Alaska Native Regional Corporation"
7075,02418745,"Nikolski","Nikolski ANVSA",01570,02419297,2300000US0201570,"Aleut","Aleut Alaska Native Regional Corporation"
7340,02419228,"St. George","St. George ANVSA",01570,02419297,2300000US0201570,"Aleut","Aleut Alaska Native Regional Corporation"
6195,02418788,"Belkofski","Belkofski ANVSA",01570,02419297,2300000US0201570,"Aleut","Aleut Alaska Native Regional Corporation"
6500,02418579,"False Pass","False Pass ANVSA",01570,02419297,2300000US0201570,"Aleut","Aleut Alaska Native Regional Corporation"
6735,02418652,"King Cove","King Cove ANVSA",01570,02419297,2300000US0201570,"Aleut","Aleut Alaska Native Regional Corporation"
7025,02418732,"Nelson Lagoon","Nelson Lagoon ANVSA",01570,02419297,2300000US0201570,"Aleut","Aleut Alaska Native Regional Corporation"
7410,02419207,"Sand Point","Sand Point ANVSA",01570,02419297,2300000US0201570,"Aleut","Aleut Alaska Native Regional Corporation"
6290,02418816,"Chickaloon","Chickaloon ANVSA",00590,02419295,2300000US0200590,"Ahtna","Ahtna Alaska Native Regional Corporation"
6325,02418829,"Chistochina","Chistochina ANVSA",00590,02419295,2300000US0200590,"Ahtna","Ahtna Alaska Native Regional Corporation"
6330,02418831,"Chitina","Chitina ANVSA",00590,02419295,2300000US0200590,"Ahtna","Ahtna Alaska Native Regional Corporation"
6365,02418846,"Copper Center","Copper Center ANVSA",00590,02419295,2300000US0200590,"Ahtna","Ahtna Alaska Native Regional Corporation"
7560,02419250,"Tazlina","Tazlina ANVSA",00590,02419295,2300000US0200590,"Ahtna","Ahtna Alaska Native Regional Corporation"
6255,02418800,"Cantwell","Cantwell ANVSA",00590,02419295,2300000US0200590,"Ahtna","Ahtna Alaska Native Regional Corporation"
6520,02418592,"Gakona","Gakona ANVSA",00590,02419295,2300000US0200590,"Ahtna","Ahtna Alaska Native Regional Corporation"
6560,02418604,"Gulkana","Gulkana ANVSA",00590,02419295,2300000US0200590,"Ahtna","Ahtna Alaska Native Regional Corporation"
6945,02418707,"Mentasta Lake","Mentasta Lake ANVSA",00590,02419295,2300000US0200590,"Ahtna","Ahtna Alaska Native Regional Corporation"
7555,02419248,"Tatitlek","Tatitlek ANVSA",14410,02419341,2300000US0214410,"Chugach","Chugach Alaska Native Regional Corporation"
6280,02418808,"Chenega","Chenega ANVSA",14410,02419341,2300000US0214410,"Chugach","Chugach Alaska Native Regional Corporation"
6995,02418725,"Nanwalek","Nanwalek ANVSA",14410,02419341,2300000US0214410,"Chugach","Chugach Alaska Native Regional Corporation"
7265,02419184,"Port Graham","Port Graham ANVSA",14410,02419341,2300000US0214410,"Chugach","Chugach Alaska Native Regional Corporation"
6495,02418578,"Eyak","Eyak ANVSA",14410,02419341,2300000US0214410,"Chugach","Chugach Alaska Native Regional Corporation"
6100,02418772,"Angoon","Angoon ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
6315,02418826,"Chilkoot","Chilkoot ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
7475,02575190,"Sitka","Sitka ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
6420,02418558,"Douglas","Douglas ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
7765,02419292,"Yakutat","Yakutat ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
6310,02418825,"Chilkat","Chilkat ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
7485,02575191,"Skagway","Skagway ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
6725,02575182,"Ketchikan","Ketchikan ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
6590,02418618,"Hoonah","Hoonah ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
6615,02418623,"Hydaburg","Hydaburg ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
6705,02418643,"Kasaan","Kasaan ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
6765,02418659,"Klawock","Klawock ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
6385,02418851,"Craig","Craig ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
7220,02575188,"Petersburg","Petersburg ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
7420,02419209,"Saxman","Saxman ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
6670,02418635,"Kake","Kake ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
7755,02575193,"Wrangell","Wrangell ANVSA",67940,02419136,2300000US0267940,"Sealaska","Sealaska Alaska Native Regional Corporation"
6080,02418769,"Anaktuvuk Pass","Anaktuvuk Pass ANVSA",03950,02419300,2300000US0203950,"Arctic Slope","Arctic Slope Alaska Native Regional Corporation"
6175,02418784,"Barrow","Barrow ANVSA",03950,02419300,2300000US0203950,"Arctic Slope","Arctic Slope Alaska Native Regional Corporation"
6680,02418636,"Kaktovik","Kaktovik ANVSA",03950,02419300,2300000US0203950,"Arctic Slope","Arctic Slope Alaska Native Regional Corporation"
7125,02419151,"Nuiqsut","Nuiqsut ANVSA",03950,02419300,2300000US0203950,"Arctic Slope","Arctic Slope Alaska Native Regional Corporation"
7250,02419176,"Point Hope","Point Hope ANVSA",03950,02419300,2300000US0203950,"Arctic Slope","Arctic Slope Alaska Native Regional Corporation"
7255,02419177,"Point Lay","Point Lay ANVSA",03950,02419300,2300000US0203950,"Arctic Slope","Arctic Slope Alaska Native Regional Corporation"
6165,02418782,"Atqasuk","Atqasuk ANVSA",03950,02419300,2300000US0203950,"Arctic Slope","Arctic Slope Alaska Native Regional Corporation"
7735,02419281,"Wainwright","Wainwright ANVSA",03950,02419300,2300000US0203950,"Arctic Slope","Arctic Slope Alaska Native Regional Corporation"
6830,02418674,"Koyukuk","Koyukuk ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7130,02419152,"Nulato","Nulato ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7300,02419195,"Rampart","Rampart ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7310,02419201,"Ruby","Ruby ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7440,02419215,"Shageluk","Shageluk ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6895,02418700,"McGrath","McGrath ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6900,02418694,"Manley Hot Springs","Manley Hot Springs ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6550,02418603,"Grayling","Grayling ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
