"neid_prefix","neid_mid","FRN_NameAsPublished","FRN_Date"
TRBF,ABSXFP,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana",12/11/2024
TRBF,ACLNTE,"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",12/11/2024
TRBF,ACOMAP,"Pueblo of Acoma, New Mexico",12/11/2024
TRBF,AGSTNE,"Augustine Band of Cahuilla Indians, California",12/11/2024
TRBF,AKCHIN,"Ak-Chin Indian Community",12/11/2024
TRBF,ALCOUS,"Alabama-Coushatta Tribe of Texas",12/11/2024
TRBF,ALQSRT,"Alabama-Quassarte Tribal Town",12/11/2024
TRBF,ALTURS,"Alturas Indian Rancheria, California",12/11/2024
TRBF,APCHOK,"Apache Tribe of Oklahoma",12/11/2024
TRBF,AQNNAH,"Wampanoag Tribe of Gay Head (Aquinnah)",12/11/2024
TRBF,ASHAWN,"Absentee-Shawnee Tribe of Indians of Oklahoma",12/11/2024
TRBF,AUBURN,"United Auburn Indian Community of the Auburn Rancheria of California",12/11/2024
TRBF,BADRVR,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",12/11/2024
TRBF,BEARRV,"Bear River Band of the Rohnerville Rancheria, California",12/11/2024
TRBF,BELKNP,"Fort Belknap Indian Community of the Fort Belknap Reservation of Montana",12/11/2024
TRBF,BERRYC,"Berry Creek Rancheria of Maidu Indians of California",12/11/2024
TRBF,BGLAGN,"Big Lagoon Rancheria, California",12/11/2024
TRBF,BGPINE,"Big Pine Paiute Tribe of the Owens Valley",12/11/2024
TRBF,BGSNDY,"Big Sandy Rancheria of Western Mono Indians of California",12/11/2024
TRBF,BGVALY,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",12/11/2024
TRBF,BIDWLL,"Fort Bidwell Indian Community of the Fort Bidwell Reservation of California",12/11/2024
TRBF,BISHOP,"Bishop Paiute Tribe",12/11/2024
TRBF,BLCKFT,"Blackfeet Tribe of the Blackfeet Indian Reservation of Montana",12/11/2024
TRBF,BLULKE,"Blue Lake Rancheria, California",12/11/2024
TRBF,BNVSTA,"Buena Vista Rancheria of Me-Wuk Indians of California",12/11/2024
TRBF,BRGPRT,"Bridgeport Indian Colony",12/11/2024
TRBF,BURNST,"Burns Paiute Tribe",12/11/2024
TRBF,BYMLLS,"Bay Mills Indian Community, Michigan",12/11/2024
TRBF,CABAZN,"Cabazon Band of Cahuilla Indians (previously listed as Cabazon Band of Mission Indians, California)",12/11/2024
TRBF,CACHLD,"Cachil DeHe Band of Wintun Indians of the Colusa Indian Community of the Colusa Rancheria, California",12/11/2024
TRBF,CADDON,"Caddo Nation of Oklahoma",12/11/2024
TRBF,CAHTOT,"Cahto Tribe of the Laytonville Rancheria",12/11/2024
TRBF,CAMPOB,"Campo Band of Diegueno Mission Indians of the Campo Indian Reservation, California",12/11/2024
TRBF,CATWBA,"Catawba Indian Nation",12/11/2024
TRBF,CAVLLY,"California Valley Miwok Tribe, California",12/11/2024
TRBF,CAYUGA,"Cayuga Nation",12/11/2024
TRBF,CEDARV,"Cedarville Rancheria, California",12/11/2024
TRBF,CFTGSH,"Confederated Tribes of the Goshute Reservation, Nevada and Utah",12/11/2024
TRBF,CHCKHE,"Chickahominy Indian Tribe—Eastern Division",12/11/2024
TRBF,CHCKHT,"Chickahominy Indian Tribe",12/11/2024
TRBF,CHCKNR,"Chicken Ranch Rancheria of Me-Wuk Indians of California",12/11/2024
TRBF,CHEHLS,"Confederated Tribes of the Chehalis Reservation",12/11/2024
TRBF,CHKNAT,"Cherokee Nation",12/11/2024
TRBF,CHKSWN,"The Chickasaw Nation",12/11/2024
TRBF,CHLLAB,"Cahuilla Band of Indians",12/11/2024
TRBF,CHMHVI,"Chemehuevi Indian Tribe of the Chemehuevi Reservation, California",12/11/2024
TRBF,CHRAEH,"Cher-Ae Heights Indian Community of the Trinidad Rancheria, California",12/11/2024
TRBF,CHTMCH,"Chitimacha Tribe of Louisiana",12/11/2024
TRBF,CHYARP,"Cheyenne and Arapaho Tribes, Oklahoma",12/11/2024
TRBF,CHYNRV,"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota",12/11/2024
TRBF,CITIZN,"Citizen Potawatomi Nation, Oklahoma",12/11/2024
TRBF,CLDSPR,"Cold Springs Rancheria of Mono Indians of California",12/11/2024
TRBF,CLUSLW,"Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians",12/11/2024
TRBF,CLVRDL,"Cloverdale Rancheria of Pomo Indians of California",12/11/2024
TRBF,CMNCHE,"Comanche Nation, Oklahoma",12/11/2024
TRBF,COCHTI,"Pueblo of Cochiti, New Mexico",12/11/2024
TRBF,COCOPH,"Cocopah Tribe of Arizona",12/11/2024
TRBF,COLVLL,"Confederated Tribes of the Colville Reservation",12/11/2024
TRBF,COQLLE,"Coquille Indian Tribe",12/11/2024
TRBF,CORIVR,"Colorado River Indian Tribes of the Colorado River Indian Reservation, Arizona and California",12/11/2024
TRBF,COUSLA,"Coushatta Tribe of Louisiana",12/11/2024
TRBF,COWCRU,"Cow Creek Band of Umpqua Tribe of Indians",12/11/2024
TRBF,COWLTZ,"Cowlitz Indian Tribe",12/11/2024
TRBF,CPTNGR,"Capitan Grande Band of Diegueno Mission Indians of California (Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California; Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California)",12/11/2024
TRBF,CRDALN,"Coeur D'Alene Tribe",12/11/2024
TRBF,CROWCR,"Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota",12/11/2024
TRBF,CROWMT,"Crow Tribe of Montana",12/11/2024
TRBF,CSKTFR,"Confederated Salish and Kootenai Tribes of the Flathead Reservation",12/11/2024
TRBF,CTWNAT,"The Choctaw Nation of Oklahoma",12/11/2024
TRBF,CVERDE,"Yavapai-Apache Nation of the Camp Verde Indian Reservation, Arizona",12/11/2024
TRBF,CYOTEV,"Coyote Valley Band of Pomo Indians of California",12/11/2024
TRBF,DELAWN,"Delaware Nation, Oklahoma",12/11/2024
TRBF,DELAWT,"Delaware Tribe of Indians",12/11/2024
TRBF,DRYCRK,"Dry Creek Rancheria Band of Pomo Indians, California",12/11/2024
TRBF,DUCKVY,"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada",12/11/2024
TRBF,DUCKWT,"Duckwater Shoshone Tribe of the Duckwater Reservation, Nevada",1/8/2024
