"neid_prefix","neid_mid","match","AIANNH_geoname_full","STATES","AIANNHCE","AIANNHNS"
TRBF,ABSXFP,nd,"Fort Peck Indian Reservation",MT,1250,00805884
TRBF,ACLNTE,nd,"Agua Caliente Indian Reservation",CA,0020,01934324
TRBF,ACOMAP,nd,"Acoma Pueblo",NM,0010,01934337
TRBF,AGSTNE,nd,"Augustine Reservation",CA,0125,00238830
TRBF,AKCHIN,nd,"Maricopa (Ak Chin) Indian Reservation",AZ,2130,00023997
TRBF,ALCOUS,nd,"Alabama-Coushatta Reservation",TX,0050,01350923
TRBF,ALQSRT,d,"Creek OTSA",OK,5620,01925077
TRBF,ALTURS,nd,"Alturas Indian Rancheria",CA,0095,00218194
TRBF,APCHOK,nd,"Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA",OK,5955,02418655
TRBF,APCHOK,n,"Kiowa-Comanche-Apache-Fort Sill Apache",OK,5720,02418654
TRBF,AQNNAH,nd,"Wampanoag-Aquinnah Trust Land",MA,4530,02419514
TRBF,ASHAWN,nd,"Citizen Potawatomi Nation-Absentee Shawnee OTSA",OK,5600,01925074
TRBF,AUBURN,n,"Auburn Rancheria",CA,0120,00218454
TRBF,BADRVR,nd,"Bad River Reservation",WI,0140,01577209
TRBF,BEARRV,nd,"Rohnerville (Rancheria) Trust Land",CA,3220,00231831
TRBF,BELKNP,nd,"Fort Belknap Reservation",MT,1150,00767938
TRBF,BERRYC,nd,"Berry Creek Rancheria",CA,0200,00256849
TRBF,BGLAGN,nd,"Big Lagoon Rancheria",CA,0240,00219211
TRBF,BGPINE,nd,"Big Pine Reservation",CA,0250,00256983
TRBF,BGSNDY,n,"Big Sandy Rancheria",CA,0265,01667416
TRBF,BGVALY,nd,"Big Valley Rancheria",CA,0275,00219277
TRBF,BIDWLL,nd,"Fort Bidwell Reservation",CA,1170,00260275
TRBF,BISHOP,nd,"Bishop Reservation",CA,0290,00264455
TRBF,BLCKFT,nd,"Blackfeet Indian Reservation",MT,0305,00806895
TRBF,BLULKE,nd,"Blue Lake Rancheria",CA,0325,02419316
TRBF,BNVSTA,none,"",,NA,NA
TRBF,BRGPRT,nd,"Bridgeport Reservation",CA,0350,02419320
TRBF,BURNST,n,"Burns Paiute Indian Colony",OR,0400,01118340
TRBF,BYMLLS,nd,"Bay Mills Reservation",MI,0170,01622234
TRBF,CABAZN,n,"Cabazon Reservation",CA,0415,01985192
TRBF,CACHLD,nd,"Colusa Rancheria",CA,0750,02418877
TRBF,CADDON,nd,"Caddo-Wichita-Delaware OTSA",OK,5540,01925075
TRBF,CADDON,n,"Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA",OK,5955,02418655
TRBF,CAHTOT,nd,"Laytonville Rancheria",CA,1925,00226975
TRBF,CAMPOB,nd,"Campo Indian Reservation",CA,0450,00270242
TRBF,CATWBA,nd,"Catawba Reservation",SC,0525,01233634
TRBF,CAVLLY,none,"",,NA,NA
TRBF,CAYUGA,n,"Cayuga Nation TDSA",NY,8100,02418802
TRBF,CEDARV,n,"Cedarville Rancheria",CA,0555,00220808
TRBF,CFTGSH,n,"Goshute Reservation",NV~UT,1340,01455300
TRBF,CHCKHE,nd,"Eastern Chickahominy TDSA",VA,8160,02418562
TRBF,CHCKHT,nd,"Chickahominy TDSA",VA,8150,02418815
TRBF,CHCKNR,nd,"Chicken Ranch Rancheria",CA,0620,02419337
TRBF,CHEHLS,nd,"Chehalis Reservation",WA,0575,01503930
TRBF,CHKNAT,nd,"Cherokee OTSA",OK,5550,02418810
TRBF,CHKSWN,nd,"Chickasaw OTSA",OK,5580,02418818
TRBF,CHLLAB,nd,"Cahuilla Reservation",CA,0435,00270144
TRBF,CHMHVI,nd,"Chemehuevi Reservation",CA,0585,00255956
TRBF,CHRAEH,nd,"Trinidad Rancheria",CA,4275,00268407
TRBF,CHTMCH,nd,"Chitimacha Reservation",LA,0635,02419340
TRBF,CHYARP,nd,"Cheyenne and Arapaho OTSA",OK,5560,02418814
TRBF,CHYNRV,nd,"Cheyenne River Reservation",SD,0605,01267254
TRBF,CITIZN,nd,"Citizen Potawatomi Nation-Absentee Shawnee OTSA",OK,5600,01925074
TRBF,CLDSPR,nd,"Cold Springs Rancheria",CA,0720,00276284
TRBF,CLUSLW,nd,"Coos, Lower Umpqua, and Siuslaw Reservation",OR,0770,02418879
TRBF,CLVRDL,none,"",,NA,NA
TRBF,CMNCHE,nd,"Kiowa-Comanche-Apache-Fort Sill Apache OTSA",OK,5720,02418654
TRBF,CMNCHE,n,"Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA",OK,5955,02418655
TRBF,COCHTI,nd,"Pueblo de Cochiti",NM,0680,00937176
TRBF,COCOPH,nd,"Cocopah Reservation",AZ,0695,00003089
TRBF,COLVLL,nd,"Colville Reservation",WA,0760,01529464
TRBF,COQLLE,nd,"Coquille Reservation",OR,0775,02418881
TRBF,CORIVR,nd,"Colorado River Indian Reservation",AZ~CA,0735,00022753
TRBF,COUSLA,nd,"Coushatta Reservation",LA,0795,00545438
TRBF,COWCRU,nd,"Cow Creek Reservation",OR,0815,02418898
TRBF,COWLTZ,n,"Cowlitz Reservation",WA,0820,02772245
TRBF,CPTNGR,nd,"Barona Reservation",CA,0155,00255962
TRBF,CPTNGR,n,"Capitan Grande Reservation",CA,0495,00240225
TRBF,CPTNGR,nd,"Viejas Reservation",CA,4500,00251037
TRBF,CRDALN,nd,"Coeur d'Alene Reservation",ID,0705,00395231
TRBF,CROWCR,nd,"Crow Creek Reservation",SD,0855,01267067
TRBF,CROWMT,nd,"Crow Reservation",MT,0845,00806896
TRBF,CSKTFR,nd,"Flathead Reservation",MT,1110,00806894
TRBF,CTWNAT,nd,"Choctaw OTSA",OK,5590,02418833
TRBF,CVERDE,nd,"Yavapai-Apache Nation Reservation",AZ,4708,00027214
TRBF,CYOTEV,nd,"Coyote Valley Reservation",CA,0825,01985199
TRBF,DELAWN,nd,"Caddo-Wichita-Delaware OTSA",OK,5540,01925075
TRBF,DELAWN,n,"Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA",OK,5955,02418655
TRBF,DELAWT,d,"Cherokee OTSA",OK,5550,02418810
TRBF,DRYCRK,n,"Dry Creek Rancheria",CA,0955,00222639
TRBF,DUCKVY,nd,"Duck Valley Reservation",ID~NV,0965,00858264
TRBF,DUCKWT,nd,"Duckwater Reservation",NV,0975,00845441
TRBF,ELEMCL,n,"Sulphur Bank Rancheria",CA,4030,00267889
TRBF,ELKVLY,nd,"Elk Valley Rancheria",CA,1010,01657318
TRBF,ELYTNV,nd,"Ely Reservation",NV,1040,00859672
TRBF,ENTPRS,n,"Enterprise Rancheria",CA,1055,00259950
TRBF,ESHAWN,nd,"Eastern Shawnee OTSA",OK,5640,02418563
TRBF,ESTCHK,nd,"Eastern Cherokee Reservation",NC,0990,01018039
TRBF,ESWNDR,nd,"Wind River Reservation",WY,4610,01597068
TRBF,FALLON,nd,"Fallon Paiute-Shoshone Colony",NV,1070,00850495
TRBF,FALLON,n,"Fallon Paiute-Shoshone Reservation",NV,1075,00840414
TRBF,FLANDR,nd,"Flandreau Reservation",SD,1100,01934365
TRBF,FMCDWL,nd,"Fort McDowell Yavapai Nation Reservation",AZ,1220,00036978
TRBF,FSCWSA,n,"Fort Sill Apache Indian Reservation",NM,1270,02711352
TRBF,FSCWSA,nd,"Kiowa-Comanche-Apache-Fort Sill Apache OTSA",OK,5720,02418654
TRBF,FSCWSA,n,"Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA",OK,5955,02418655
TRBF,FSTCTY,nd,"Forest County Potawatomi Community",WI,1135,02418936
TRBF,FTHALL,nd,"Fort Hall Reservation",ID,1185,00399059
TRBF,FTINDP,nd,"Fort Independence Reservation",CA,1195,00260277
TRBF,FTMCDM,n,"Fort McDermitt Indian Reservation",NV~OR,1210,00859740
TRBF,GILARV,nd,"Gila River Indian Reservation",AZ,1310,00023998
TRBF,GRATON,none,"",,NA,NA
TRBF,GREENV,n,"Greenville Rancheria",CA,1380,01666180
TRBF,GRNDST,n,"Grindstone Indian Rancheria",CA,1395,00266781
TRBF,GRNRND,nd,"Grand Ronde Community",OR,1365,02418950
TRBF,GRTRVS,nd,"Grand Traverse Reservation",MI,1370,02418951
