neid_prefix,neid_mid,Census_RaceEthCode
TRBF,ABSXFP,5531
TRBF,ACLNTE,5557
TRBF,ACOMAP,6167
TRBF,AGSTNE,5558
TRBF,AKCHIN,5510
TRBF,ALCOUS,5727
TRBF,ALQSRT,5736
TRBF,ALTURS,6112
TRBF,APCHOK,5515
TRBF,AQNNAH,6380
TRBF,ASHAWN,6270
TRBF,AUBURN,5934
TRBF,BADRVR,5650
TRBF,BEARRV,5566
TRBF,BELKNP,5820
TRBF,BERRYC,5927
TRBF,BGLAGN,6347
TRBF,BGPINE,6044
TRBF,BGSNDY,5989
TRBF,BGVALY,6118
TRBF,BIDWLL,6048
TRBF,BISHOP,6072
TRBF,BLCKFT,5536
TRBF,BLULKE,6414
TRBF,BNVSTA,5970
TRBF,BRGPRT,6045
TRBF,BURNST,6046
TRBF,BYMLLS,5651
TRBF,CABAZN,5559
TRBF,CACHLD,6408
TRBF,CADDON,5553
TRBF,CAHTOT,5567
TRBF,CAMPOB,5773
TRBF,CATWBA,5586
TRBF,CAVLLY,5568
TRBF,CAYUGA,5864
TRBF,CEDARV,6047
TRBF,CFTGSH,6284
TRBF,CHCKHE,5629
TRBF,CHCKHT,5630
TRBF,CHCKNR,5971
TRBF,CHEHLS,5590
TRBF,CHKNAT,5603
TRBF,CHKSWN,5635
TRBF,CHLLAB,5965
TRBF,CHMHVI,5597
TRBF,CHRAEH,5569
TRBF,CHTMCH,5684
TRBF,CHYARP,5624
TRBF,CHYNRV,6297
TRBF,CITIZN,6153
TRBF,CLDSPR,5990
TRBF,CLUSLW,5720
TRBF,CLVRDL,6120
TRBF,CMNCHE,5716
TRBF,COCHTI,6168
TRBF,COCOPH,6445
TRBF,COLVLL,5714
TRBF,COQLLE,5722
TRBF,CORIVR,5712
TRBF,COUSLA,5728
TRBF,COWCRU,6358
TRBF,COWLTZ,5731
TRBF,CPTNGR,5774
TRBF,CRDALN,5708
TRBF,CROWCR,6298
TRBF,CROWMT,5752
TRBF,CSKTFR,6238
TRBF,CTWNAT,5690
TRBF,CVERDE,6428
TRBF,CYOTEV,6121
TRBF,DELAWN,5763
TRBF,DELAWT,5764
TRBF,DRYCRK,6122
TRBF,DUCKVY,6073
TRBF,DUCKWT,6286
TRBF,ELEMCL,6124
TRBF,ELKVLY,6348
TRBF,ELYTNV,6288
TRBF,ENTPRS,5928
TRBF,ESHAWN,6272
TRBF,ESTCHK,5606
TRBF,ESWNDR,6287
TRBF,FALLON,6071
TRBF,FLANDR,6300
TRBF,FMCDWL,5827
TRBF,FSCWSA,5516
TRBF,FSTCTY,6154
TRBF,FTHALL,5824
TRBF,FTINDP,6049
TRBF,FTMCDM,6069
TRBF,GILARV,6103
TRBF,GRATON,6125
TRBF,GREENV,5929
TRBF,GRNDST,6412
TRBF,GRNRND,5831
TRBF,GRTRVS,5655
TRBF,GUIDIV,6126
TRBF,HANNHV,6155
TRBF,HAVASP,6447
TRBF,HBMTLL,6127
TRBF,HLTNML,5939
TRBF,HOCHNK,5842
TRBF,HOHTRB,5593
TRBF,HOOPAV,5844
TRBF,HOPIAZ,5851
TRBF,HPLAND,6128
TRBF,HUALAP,6448
TRBF,IIPAYN,5776
TRBF,INAJAB,5777
TRBF,IONEBD,5972
TRBF,IOWAKN,5859
TRBF,IOWAOK,5860
TRBF,ISLETA,6169
TRBF,JAMULV,5778
TRBF,JCKMWK,5973
TRBF,JCRLLA,5517
TRBF,JEMEZP,6170
TRBF,JMSTSK,6225
TRBF,JNACTW,5692
TRBF,KAIBAB,6050
TRBF,KALSPL,5880
TRBF,KARUKT,5882
TRBF,KASHIA,6129
TRBF,KAWNOK,5884
TRBF,KCKPKS,5888
TRBF,KCKPOK,5889
TRBF,KCKPTX,5887
TRBF,KILGEE,5739
TRBF,KIOWAT,5892
TRBF,KLAMTH,5896
TRBF,KLTSLD,6409
TRBF,KOINCA,6130
TRBF,KTNIID,5900
TRBF,KWNWBY,5656
TRBF,LAGUNA,6171
TRBF,LBRULE,6301
TRBF,LCORLS,5657
TRBF,LCYTES,5560
TRBF,LELWHA,6226
TRBF,LFLAMB,5658
TRBF,LJOLLA,5913
TRBF,LNPINE,6070
TRBF,LPOSTA,5779
TRBF,LRIVER,6035
TRBF,LSHELL,5662
TRBF,LSVGAS,6051
TRBF,LTRVRS,6036
TRBF,LUMBEE,5922
TRBF,LUMMIT,5924
TRBF,LVDSRT,5659
TRBF,LVLOCK,6052
TRBF,LWSXMN,6302
TRBF,LYTTON,6131
TRBF,MAKAHN,5936
TRBF,MCHPDA,5930
TRBF,MCHSTR,6132
TRBF,MCKLSH,6194
TRBF,MCSKEE,5957
TRBF,MDDLTN,6133
TRBF,MEBNSW,6156
TRBF,MESAGR,5781
TRBF,MHATAT,6339
TRBF,MHEGAN,5984
TRBF,MIAMIT,5955
TRBF,MIKMAQ,5960
TRBF,MINNCH,5664
TRBF,MNACAN,5986
TRBF,MNMNEE,5948
TRBF,MNZNTA,5780
TRBF,MOAPAT,6054
TRBF,MODOCN,5980
TRBF,MOJAVE,6446
TRBF,MOORTN,5931
TRBF,MORNGO,5561
TRBF,MSBCTW,5694
TRBF,MSCLRO,5519
TRBF,MSENAT,5735
TRBF,MSHNTK,6099
TRBF,MSHPEE,6375
TRBF,NAMBEP,6172
TRBF,NAVAJO,5999
TRBF,NAWNDR,5525
TRBF,NEZPRC,6001
TRBF,NISQLL,6195
TRBF,NNSMND,5795
TRBF,NOOKSK,6196
TRBF,NORCHY,5620
TRBF,NORFRK,5991
TRBF,NRGNST,5997
TRBF,NTWSPH,6157
TRBF,NWSSHN,6289
TRBF,OGLALA,6304
TRBF,OKYOWG,6165
TRBF,OMAHAT,6023
TRBF,ONDANY,5867
TRBF,ONDAWI,6025
TRBF,ONNDGA,5868
TRBF,OSAGEN,6029
TRBF,OTOMSA,6031
TRBF,OWATOK,6037
TRBF,PALABD,5914
TRBF,PAMNKY,6078
TRBF,PAUMAB,5915
TRBF,PAWNEE,6086
TRBF,PCHNGA,5916
TRBF,PCURIS,6173
TRBF,PEORIA,6093
TRBF,PGMBSK,6227
TRBF,PITRVR,6113
TRBF,PLKLYK,6456
TRBF,PNBSCT,6090
TRBF,PNCANE,6149
TRBF,PNCAOK,6148
TRBF,PNOLVL,6135
TRBF,POARCH,5744
TRBF,POJOAQ,6174
TRBF,POKAGN,6158
TRBF,PRAIRB,6159
TRBF,PRAIRI,6306
TRBF,PRSCTT,6451
TRBF,PSKNML,6009
TRBF,PSMQDY,6081
TRBF,PSQYQI,6424
TRBF,PTTERV,6136
TRBF,PTTRUT,6056
TRBF,PUYLLP,6197
TRBF,PYCKCH,6431
TRBF,PYRMDL,6057
TRBF,QUAPAW,6214
TRBF,QUARTZ,6265
TRBF,QUECHN,6450
TRBF,QUILTE,5594
TRBF,QUINLT,6216
TRBF,RAMONA,5562
TRBF,RDDING,5575
TRBF,REDCLF,5665
TRBF,REDLKE,5666
TRBF,REDWDV,6137
TRBF,RINCON,5917
TRBF,RNDVLY,6222
TRBF,RNOSPK,6220
TRBF,ROBNSN,6138
TRBF,ROCKYB,5679
TRBF,ROSEBD,6307
TRBF,RPHNCK,6218
TRBF,SAMISH,6198
TRBF,SANDIA,6177
TRBF,SANTSX,6308
TRBF,SBRMNS,6324
TRBF,SCFXMO,6230
TRBF,SCFXMS,6232
TRBF,SCFXOK,6231
TRBF,SCLARA,6179
TRBF,SCROIX,5670
TRBF,SCTTSV,6139
TRBF,SDMNGO,6180
TRBF,SFLIPE,6175
TRBF,SGINAW,5667
TRBF,SHAWNT,6275
TRBF,SHLWBY,6281
TRBF,SHNNCK,6279
TRBF,SHRWDV,6140
TRBF,SHSMWK,5974
TRBF,SILDFN,6176
TRBF,SILETZ,6293
TRBF,SKLLVY,6290
TRBF,SKOKOM,6200
TRBF,SKSTTL,6199
TRBF,SMARIE,5668
TRBF,SMMTLK,6059
TRBF,SMNLFL,6250
TRBF,SMNLOK,6251
TRBF,SNCCYG,5872
TRBF,SNCNAT,5870
TRBF,SNCRLS,5520
TRBF,SNJUAN,6058
TRBF,SNOQLM,6203
TRBF,SNPSQL,5782
TRBF,SOBOBA,5918
TRBF,SOKGON,5669
TRBF,SPKANE,6322
TRBF,SPMWKN,6309
TRBF,SPRTLK,6311
TRBF,SQUXIN,6204
TRBF,SRMHWK,5869
TRBF,SROSAB,5563
TRBF,SROSAR,5576
TRBF,SRPMCP,6105
TRBF,STAANA,6178
TRBF,STAYNZ,5703
TRBF,STHUTE,6363
TRBF,STLMSH,6206
TRBF,STNDRK,6312
TRBF,SUQUAM,6208
TRBF,SUSANV,6060
TRBF,SWINOM,6207
TRBF,SWOYTE,6310
TRBF,SYCUAN,5783
TRBF,TABLEM,6432
TRBF,TAOSPB,6181
TRBF,TEJONT,6434
TRBF,TEMOAK,6326
TRBF,THNODM,6341
TRBF,TIMBSH,6285
TRBF,TLPLCO,5746
TRBF,TLWDNI,6346
TRBF,TNKAWA,6351
TRBF,TNWNDA,5873
TRBF,TONTOA,5521
TRBF,TRSMTZ,5564
TRBF,TSCARA,5874
TRBF,TSUQUE,6182
TRBF,TULALP,6209
TRBF,TULERV,6435
TRBF,TUNBIL,5808
TRBF,TUOLMN,5975
TRBF,TURTLM,5672
TRBF,TWNPLM,5920
TRBF,UKEETW,5616
TRBF,UMATLL,6355
TRBF,UMTPNI,5944
TRBF,UNTHOR,6364
TRBF,UPSXMN,6314
TRBF,USKAGT,6210
TRBF,UTEMTN,6365
TRBF,UUGWTU,6061
TRBF,WASHOE,6391
TRBF,WIAPYP,5775
TRBF,WILTON,5976
TRBF,WIYOTT,6415
TRBF,WKWTOK,6395
TRBF,WLKRRV,6062
TRBF,WMTNAZ,5522
TRBF,WNNBGO,6403
TRBF,WNNMCA,6063
TRBF,WRMSPR,6386
TRBF,WYNDTT,5875
TRBF,YAKAMA,6419
TRBF,YANKTN,6317
TRBF,YHVTSM,6260
TRBF,YLSTSR,6185
TRBF,YOCHAD,6410
TRBF,YOMBAT,6291
TRBF,YRNGTN,6065
TRBF,YUROKT,6455
TRBF,ZIAPBL,6183
TRBF,ZUNINM,6186
AKNF,ACSRMT,5414
AKNF,AFGNAK,5140
AKNF,AGDAGX,5121
AKNF,AKACHK,5411
AKNF,AKHIOK,5141
AKNF,AKIAKC,5412
AKNF,AKUTAN,5142
AKNF,ALAKKT,5025
AKNF,ALAKNK,5469
AKNF,ALATNA,5023
AKNF,ALGACQ,5413
AKNF,ALKNGK,5425
AKNF,ALTIIQ,5173
AKNF,AMBLER,5235
AKNF,ANGOON,5340
AKNF,ANKTVK,5264
AKNF,ANVIKV,5026
AKNF,ARCTIC,5091
AKNF,ATKANV,5143
AKNF,ATMTLK,5471
AKNF,ATQSUK,5224
AKNF,BCKLND,5238
AKNF,BEAVRV,5028
AKNF,BIRCHC,5029
AKNF,BLKFSK,5144
AKNF,BLLMSL,5472
AKNF,BREVIG,5237
AKNF,CGNKBY,5125
AKNF,CGNKLG,5146
AKNF,CGNKLK,5126
AKNF,CHCKLN,5032
AKNF,CHEVAK,5226
AKNF,CHFRNK,5473
AKNF,CHINIK,5227
AKNF,CHLKAT,5322
AKNF,CHLKSK,5030
AKNF,CHNEGA,5145
AKNF,CHSHNA,5031
AKNF,CHTHBK,5426
AKNF,CHTINA,5053
AKNF,CIRCLE,5033
AKNF,CLKOOT,5323
AKNF,CLNWCK,5417
AKNF,CLRKPT,5474
AKNF,CNTWLL,5052
AKNF,COUNCL,5239
AKNF,CRAIGT,5324
AKNF,CRKEDC,5475
AKNF,CRYUNG,5418
AKNF,DEERNG,5240
AKNF,DOTLAK,5082
AKNF,DOUGLS,5325
AKNF,EGEGIK,5129
AKNF,EKLTNA,5037
AKNF,EMMNAK,5420
AKNF,EVNSVL,5038
AKNF,FSPASS,5148
AKNF,GAKONA,5056
AKNF,GAMBLL,5429
AKNF,GEORGT,5430
AKNF,GLKANA,5040
AKNF,GNWSBY,5431
AKNF,GRYLNG,5072
AKNF,GWCHZG,5055
AKNF,HAMLTN,5432
AKNF,HCROSS,5042
AKNF,HDABRG,5328
AKNF,HEALYL,5041
AKNF,HOONAH,5327
AKNF,HOOPBY,5433
AKNF,HUGHES,5043
AKNF,HUSLIA,5044
AKNF,IGIUGG,5130
AKNF,INALIK,5241
AKNF,INPTAS,5230
AKNF,INPTBW,5236
AKNF,IQUGMT,5421
AKNF,IVNFBY,5131
AKNF,KAGUYK,5132
AKNF,KALTAG,5084
AKNF,KANATK,5149
AKNF,KARLUK,5150
AKNF,KASAAN,5332
AKNF,KENTZE,5089
AKNF,KIPNUK,5435
AKNF,KKTOVK,5231
AKNF,KLAWCK,5330
AKNF,KLSKAG,5476
AKNF,KLTIKH,5057
AKNF,KNGGNK,5436
AKNF,KNGISL,5233
AKNF,KNGSAL,5135
AKNF,KNIKTR,5045
AKNF,KOBUKV,5245
AKNF,KOKHNK,5137
AKNF,KOTLIK,5477
AKNF,KOYUKK,5046
AKNF,KOYUKV,5247
AKNF,KSIGLK,5434
AKNF,KTCHKN,5329
AKNF,KTZBUE,5246
AKNF,KVALNA,5244
AKNF,KWGLGK,5437
AKNF,KWTHLK,5457
AKNF,LARSBY,5151
AKNF,LEVLCK,5422
AKNF,LIMEVL,5048
AKNF,LKLSKG,5478
AKNF,LOUDEN,5039
AKNF,MCGRTH,5050
AKNF,MEKRYK,5249
AKNF,MIGLOO,5248
AKNF,MNLYHS,5049
AKNF,MNOKTK,5423
AKNF,MNTSTA,5051
AKNF,MRSHLL,5439
AKNF,MTLKTL,5396
AKNF,NAKNEK,5424
AKNF,NANWLK,5152
AKNF,NAPAKK,5441
AKNF,NAPSKK,5442
AKNF,NENANA,5066
AKNF,NEWTOK,5455
AKNF,NGHTMT,5443
AKNF,NHALEN,5454
AKNF,NKLGNK,5452
AKNF,NKLSKI,5154
AKNF,NKOLAI,5067
AKNF,NKYRMT,5456
AKNF,NLSONL,5153
AKNF,NNDLTN,5069
AKNF,NNLCHK,5068
AKNF,NNMIQA,5444
AKNF,NNPTCK,5445
AKNF,NOATAK,5250
AKNF,NOMECM,5262
AKNF,NOORVK,5263
AKNF,NPAIMT,5440
AKNF,NRTHWY,5070
AKNF,NSTYHK,5453
AKNF,NUIQST,5251
AKNF,NULATO,5071
AKNF,NVEKUK,5428
AKNF,NVELIM,5242
AKNF,NVEYAK,5147
AKNF,NVLEEK,5427
AKNF,NVRUBY,5059
AKNF,NVTNNA,5062
AKNF,NVUNGA,5162
AKNF,NVWMTN,5261
AKNF,OGSNKL,5462
AKNF,OHOGMT,5479
AKNF,OSCARV,5459
AKNF,OTSRMT,5458
AKNF,OZNKIE,5155
AKNF,PDROBY,5073
AKNF,PILOTP,5157
AKNF,PILTST,5460
AKNF,PLATNM,5461
AKNF,PLFHBR,5163
AKNF,PNTHPE,5252
AKNF,PNTLAY,5253
