id_prefix,id_mid,match,FRN_NameAsPublished,AIANNH_Geoname_Full,STATES,AIANNHCE,AIANNHNS
TRBF,ASHAWN,nd,Absentee-Shawnee Tribe of Indians of Oklahoma,Citizen Potawatomi Nation-Absentee Shawnee OTSA,OK,5600,01925074
AKNF,AGDAGX,nd,Agdaagux Tribe of King Cove,King Cove ANVSA,AK,6735,02418652
TRBF,AGCACL,nd,"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",Agua Caliente Indian Reservation,CA,0020,01934324
TRBF,AKCHIN,nd,Ak-Chin Indian Community,Maricopa (Ak Chin) Indian Reservation,AZ,2130,00023997
AKNF,AKACHK,nd,Akiachak Native Community,Akiachak ANVSA,AK,6020,02418755
AKNF,AKIAKC,nd,Akiak Native Community,Akiak ANVSA,AK,6025,02418757
TRBF,ALCOUS,nd,Alabama-Coushatta Tribe of Texas,Alabama-Coushatta Reservation,TX,0050,01350923
TRBF,ALQSRT,d,Alabama-Quassarte Tribal Town,Creek OTSA,OK,5620,01925077
AKNF,ALATNA,nd,Alatna Village,Alatna ANVSA,AK,6040,02418760
AKNF,ALGACQ,nd,Algaaciq Native Village (St. Mary's),Algaaciq ANVSA,AK,6065,02418765
AKNF,ALAKKT,nd,Allakaket Village,Allakaket ANVSA,AK,6070,02418766
TRBF,ALTURS,nd,"Alturas Indian Rancheria, California",Alturas Indian Rancheria,CA,0095,00218194
AKNF,ALTIIQ,nd,Alutiiq Tribe of Old Harbor,Old Harbor ANVSA,AK,7150,02419156
AKNF,ANGOON,nd,Angoon Community Association,Angoon ANVSA,AK,6100,02418772
AKNF,ANVIKV,nd,Anvik Village,Anvik ANVSA,AK,6125,02418774
TRBF,APCHOK,nd,Apache Tribe of Oklahoma,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,OK,5955,02418655
TRBF,APCHOK,n,Apache Tribe of Oklahoma,Kiowa-Comanche-Apache-Fort Sill Apache,OK,5720,02418654
