FRN_NameAsPublished,ANCSA_Region,ANRC_FIPS
"Agdaagux Tribe of King Cove","Aleut",01570
"Akiachak Native Community","Calista",09800
"Akiak Native Community","Calista",09800
"Alatna Village","Doyon",20010
"Algaaciq Native Village (St. Mary's)","Calista",09800
"Allakaket Village","Doyon",20010
"Alutiiq Tribe of Old Harbor","Koniag",41640
"Angoon Community Association","Sealaska",67940
"Anvik Village","Doyon",20010
"Arctic Village (See Native Village of Venetie Tribal Government)","Doyon",20010
"Asa'carsarmiut Tribe","Calista",09800
"Beaver Village","Doyon",20010
"Birch Creek Tribe","Doyon",20010
"Central Council of the Tlingit & Haida Indian Tribes","Sealaska",67940
"Chalkyitsik Village","Doyon",20010
"Cheesh-Na Tribe","Ahtna",00590
"Chevak Native Village","Calista",09800
"Chickaloon Native Village","Cook Inlet",17140
"Chignik Bay Tribal Council","Bristol Bay",09040
"Chignik Lake Village","Bristol Bay",09040
"Chilkat Indian Village (Klukwan)","Sealaska",67940
"Chilkoot Indian Association (Haines)","Sealaska",67940
"Chinik Eskimo Community (Golovin)","Bering Straits",06370
"Chuloonawick Native Village","Calista",09800
"Circle Native Community","Doyon",20010
"Craig Tribal Association","Sealaska",67940
"Curyung Tribal Council","Bristol Bay",09040
"Douglas Indian Association","Sealaska",67940
"Egegik Village","Bristol Bay",09040
"Eklutna Native Village","Cook Inlet",17140
"Emmonak Village","Calista",09800
"Evansville Village (aka Bettles Field)","Doyon",20010
"Gulkana Village Council","Ahtna",00590
"Healy Lake Village","Doyon",20010
"Holy Cross Tribe","Doyon",20010
"Hoonah Indian Association","Sealaska",67940
"Hughes Village","Doyon",20010
"Huslia Village","Doyon",20010
"Hydaburg Cooperative Association","Sealaska",67940
"Igiugig Village","Bristol Bay",09040
"Inupiat Community of the Arctic Slope","Arctic Slope",03950
"Iqugmiut Traditional Council","Calista",09800
"Ivanof Bay Tribe","Bristol Bay",09040
"Kaguyak Village","Koniag",41640
"Kaktovik Village (aka Barter Island)","Arctic Slope",03950
"Kasigluk Traditional Elders Council","Calista",09800
"Kenaitze Indian Tribe","Cook Inlet",17140
"Ketchikan Indian Community","Sealaska",67940
"King Island Native Community","Bering Straits",06370
"King Salmon Tribe","Bristol Bay",09040
"Klawock Cooperative Association","Sealaska",67940
"Knik Tribe","Cook Inlet",17140
"Kokhanok Village","Bristol Bay",09040
"Koyukuk Native Village","Doyon",20010
"Levelock Village","Bristol Bay",09040
"Lime Village","Calista",09800
"Louden Tribe (previously listed as Galena Village (aka Louden Village))","Doyon",20010
"Manley Hot Springs Village","Doyon",20010
"Manokotak Village","Bristol Bay",09040
"McGrath Native Village","Doyon",20010
"Mentasta Traditional Council","Ahtna",00590
"Naknek Native Village","Bristol Bay",09040
"Native Village of Afognak","Koniag",41640
"Native Village of Akhiok","Koniag",41640
"Native Village of Akutan","Aleut",01570
"Native Village of Aleknagik","Bristol Bay",09040
"Native Village of Ambler","NANA",52120
"Native Village of Atka","Aleut",01570
"Native Village of Atqasuk","Arctic Slope",03950
"Native Village of Barrow Inupiat Traditional Government","Arctic Slope",03950
"Native Village of Belkofski","Aleut",01570
"Native Village of Brevig Mission","Bering Straits",06370
"Native Village of Buckland","NANA",52120
"Native Village of Cantwell","Ahtna",00590
"Native Village of Chenega (aka Chanega)","Chugach",14410
"Native Village of Chignik Lagoon","Bristol Bay",09040
"Native Village of Chitina","Ahtna",00590
