"id_AK","id_temp","FRN_NameAsPublished","Census_RaceEthCode"
"TR48",27,"Absentee-Shawnee Tribe of Indians of Oklahoma",6270
"AKNV",5,"Agdaagux Tribe of King Cove",5121
"TR48",4,"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",5557
"TR48",8,"Ak-Chin Indian Community",5510
"AKNV",7,"Akiachak Native Community",5411
"AKNV",10,"Akiak Native Community",5412
"TR48",15,"Alabama-Coushatta Tribe of Texas",5727
"TR48",18,"Alabama-Quassarte Tribal Town",5736
"AKNV",14,"Alatna Village",5023
"AKNV",16,"Algaaciq Native Village (St. Mary's)",5413
"AKNV",12,"Allakaket Village",5025
"TR48",20,"Alturas Indian Rancheria, California",6112
"AKNV",19,"Alutiiq Tribe of Old Harbor",5173
"AKNV",22,"Angoon Community Association",5340
"AKNV",24,"Anvik Village",5026
"TR48",25,"Apache Tribe of Oklahoma",5515
"AKNV",26,"Arctic Village (See Native Village of Venetie Tribal Government)",5091
"AKNV",2,"Asa'carsarmiut Tribe",5414
"TR48",28,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana",5531
"TR48",6,"Augustine Band of Cahuilla Indians, California",5558
"TR48",52,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",5650
"TR48",54,"Bay Mills Indian Community, Michigan",5651
"TR48",34,"Bear River Band of the Rohnerville Rancheria, California",5566
"AKNV",35,"Beaver Village",5028
"TR48",49,"Berry Creek Rancheria of Maidu Indians of California",5927
"TR48",37,"Big Lagoon Rancheria, California",6347
"TR48",38,"Big Pine Paiute Tribe of the Owens Valley",6044
"TR48",39,"Big Sandy Rancheria of Western Mono Indians of California",5989
"TR48",40,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",6118
"AKNV",42,"Birch Creek Tribe",5029
"TR48",43,"Bishop Paiute Tribe",6072
"TR48",44,"Blackfeet Tribe of the Blackfeet Indian Reservation of Montana",5536
"TR48",47,"Blue Lake Rancheria, California",6414
"TR48",51,"Bridgeport Indian Colony",6045
"TR48",48,"Buena Vista Rancheria of Me-Wuk Indians of California",5970
"TR48",53,"Burns Paiute Tribe",6046
"TR48",61,"Cabazon Band of Cahuilla Indians (previously listed as Cabazon Band of Mission Indians, California)",5559
"TR48",63,"Cachil DeHe Band of Wintun Indians of the Colusa Indian Community of the Colusa Rancheria, California",6408
"TR48",55,"Caddo Nation of Oklahoma",5553
"TR48",56,"Cahto Tribe of the Laytonville Rancheria",5567
"TR48",94,"Cahuilla Band of Indians",5965
"TR48",59,"California Valley Miwok Tribe, California",5568
"TR48",100,"Campo Band of Diegueno Mission Indians of the Campo Indian Reservation, California",5773
"TR48",57,"Capitan Grande Band of Diegueno Mission Indians of California (Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California; Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California)",5774
"TR48",58,"Catawba Indian Nation",5586
"TR48",60,"Cayuga Nation",5864
"TR48",64,"Cedarville Rancheria, California",6047
"AKNV",506,"Central Council of the Tlingit & Haida Indian Tribes",5321
"AKNV",81,"Chalkyitsik Village",5030
"AKNV",86,"Cheesh-Na Tribe",5031
"TR48",82,"Chemehuevi Indian Tribe of the Chemehuevi Reservation, California",5597
"TR48",84,"Cher-Ae Heights Indian Community of the Trinidad Rancheria, California",5569
"TR48",78,"Cherokee Nation",5603
"AKNV",74,"Chevak Native Village",5226
"TR48",91,"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota",6297
"TR48",90,"Cheyenne and Arapaho Tribes, Oklahoma",5624
"TR48",69,"Chickahominy Indian Tribe",5630
"TR48",68,"Chickahominy Indian Tribe—Eastern Division",5629
"AKNV",70,"Chickaloon Native Village",5032
"TR48",85,"Chicken Ranch Rancheria of Me-Wuk Indians of California",5971
"AKNV",66,"Chignik Bay Tribal Council",5125
"AKNV",67,"Chignik Lake Village",5126
"AKNV",80,"Chilkat Indian Village (Klukwan)",5322
"AKNV",95,"Chilkoot Indian Association (Haines)",5323
"AKNV",77,"Chinik Eskimo Community (Golovin)",5227
"TR48",71,"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana",5679
"TR48",89,"Chitimacha Tribe of Louisiana",5684
"AKNV",96,"Chuloonawick Native Village",5417
"AKNV",92,"Circle Native Community",5033
"TR48",93,"Citizen Potawatomi Nation, Oklahoma",6153
"TR48",62,"Cloverdale Rancheria of Pomo Indians of California",6120
"TR48",103,"Cocopah Tribe of Arizona",6445
