"id_AK","id_temp","match","FRN_NameAsPublished","AIANNH_Geoname_Full","STATES","AIANNHCE","AIANNHNS"
"TR48",27,"nd","Absentee-Shawnee Tribe of Indians of Oklahoma","Citizen Potawatomi Nation-Absentee Shawnee OTSA","OK",5600,1925074
"AKNV",5,"nd","Agdaagux Tribe of King Cove","King Cove ANVSA","AK",6735,2418652
"TR48",4,"nd","Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California","Agua Caliente Indian Reservation","CA",20,1934324
"TR48",8,"nd","Ak-Chin Indian Community","Maricopa (Ak Chin) Indian Reservation","AZ",2130,23997
"AKNV",7,"nd","Akiachak Native Community","Akiachak ANVSA","AK",6020,2418755
"AKNV",10,"nd","Akiak Native Community","Akiak ANVSA","AK",6025,2418757
"TR48",15,"nd","Alabama-Coushatta Tribe of Texas","Alabama-Coushatta Reservation","TX",50,1350923
"TR48",18,"d","Alabama-Quassarte Tribal Town","Creek OTSA","OK",5620,1925077
"AKNV",14,"nd","Alatna Village","Alatna ANVSA","AK",6040,2418760
"AKNV",16,"nd","Algaaciq Native Village (St. Mary's)","Algaaciq ANVSA","AK",6065,2418765
"AKNV",12,"nd","Allakaket Village","Allakaket ANVSA","AK",6070,2418766
"TR48",20,"nd","Alturas Indian Rancheria, California","Alturas Indian Rancheria","CA",95,218194
"AKNV",19,"nd","Alutiiq Tribe of Old Harbor","Old Harbor ANVSA","AK",7150,2419156
"AKNV",22,"nd","Angoon Community Association","Angoon ANVSA","AK",6100,2418772
"AKNV",24,"nd","Anvik Village","Anvik ANVSA","AK",6125,2418774
"TR48",25,"nd","Apache Tribe of Oklahoma","Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA","OK",5955,2418655
"TR48",25,"n","Apache Tribe of Oklahoma","Kiowa-Comanche-Apache-Fort Sill Apache","OK",5720,2418654
"AKNV",26,"nd","Arctic Village (See Native Village of Venetie Tribal Government)","Arctic Village ANVSA","AK",6140,2418776
"AKNV",2,"d","Asa'carsarmiut Tribe","Mountain Village ANVSA","AK",6975,2418719
"TR48",28,"nd","Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana","Fort Peck Indian Reservation","MT",1250,805884
"TR48",6,"nd","Augustine Band of Cahuilla Indians, California","Augustine Reservation","CA",125,238830
"TR48",52,"nd","Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin","Bad River Reservation","WI",140,1577209
"TR48",54,"nd","Bay Mills Indian Community, Michigan","Bay Mills Reservation","MI",170,1622234
"TR48",34,"nd","Bear River Band of the Rohnerville Rancheria, California","Rohnerville (Rancheria) Trust Land","CA",3220,231831
"AKNV",35,"nd","Beaver Village","Beaver ANVSA","AK",6190,2418786
"TR48",49,"nd","Berry Creek Rancheria of Maidu Indians of California","Berry Creek Rancheria","CA",200,256849
"TR48",37,"nd","Big Lagoon Rancheria, California","Big Lagoon Rancheria","CA",240,219211
"TR48",38,"nd","Big Pine Paiute Tribe of the Owens Valley","Big Pine Reservation","CA",250,256983
"TR48",39,"n","Big Sandy Rancheria of Western Mono Indians of California","Big Sandy Rancheria","CA",265,1667416
"TR48",40,"nd","Big Valley Band of Pomo Indians of the Big Valley Rancheria, California","Big Valley Rancheria","CA",275,219277
"AKNV",42,"n","Birch Creek Tribe","Birch Creek ANVSA","AK",6235,2418794
"TR48",43,"nd","Bishop Paiute Tribe","Bishop Reservation","CA",290,264455
"TR48",44,"nd","Blackfeet Tribe of the Blackfeet Indian Reservation of Montana","Blackfeet Indian Reservation","MT",305,806895
"TR48",47,"nd","Blue Lake Rancheria, California","Blue Lake Rancheria","CA",325,2419316
"TR48",51,"nd","Bridgeport Indian Colony","Bridgeport Reservation","CA",350,2419320
"TR48",48,"none","Buena Vista Rancheria of Me-Wuk Indians of California","","",NA,NA
"TR48",53,"n","Burns Paiute Tribe","Burns Paiute Indian Colony","OR",400,1118340
"TR48",61,"n","Cabazon Band of Cahuilla Indians (previously listed as Cabazon Band of Mission Indians, California)","Cabazon Reservation","CA",415,1985192
"TR48",63,"nd","Cachil DeHe Band of Wintun Indians of the Colusa Indian Community of the Colusa Rancheria, California","Colusa Rancheria","CA",750,2418877
"TR48",55,"nd","Caddo Nation of Oklahoma","Caddo-Wichita-Delaware OTSA","OK",5540,1925075
"TR48",55,"n","Caddo Nation of Oklahoma","Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA","OK",5955,2418655
"TR48",56,"nd","Cahto Tribe of the Laytonville Rancheria","Laytonville Rancheria","CA",1925,226975
"TR48",94,"nd","Cahuilla Band of Indians","Cahuilla Reservation","CA",435,270144
"TR48",59,"none","California Valley Miwok Tribe, California","","",NA,NA
"TR48",100,"nd","Campo Band of Diegueno Mission Indians of the Campo Indian Reservation, California","Campo Indian Reservation","CA",450,270242
"TR48",57,"nd","Capitan Grande Band of Diegueno Mission Indians of California (Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California; Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California)","Barona Reservation","CA",155,255962
"TR48",57,"n","Capitan Grande Band of Diegueno Mission Indians of California (Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California; Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California)","Capitan Grande Reservation","CA",495,240225
"TR48",57,"nd","Capitan Grande Band of Diegueno Mission Indians of California (Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California; Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California)","Viejas Reservation","CA",4500,251037
"TR48",58,"nd","Catawba Indian Nation","Catawba Reservation","SC",525,1233634
"TR48",60,"n","Cayuga Nation","Cayuga Nation TDSA","NY",8100,2418802
"TR48",64,"n","Cedarville Rancheria, California","Cedarville Rancheria","CA",555,220808
"AKNV",506,"none","Central Council of the Tlingit & Haida Indian Tribes","","",NA,NA
"AKNV",81,"nd","Chalkyitsik Village","Chalkyitsik ANVSA","AK",6265,2418804
"AKNV",86,"nd","Cheesh-Na Tribe","Gakona ANVSA","AK",6520,2418592
"AKNV",86,"n","Cheesh-Na Tribe","Chistochina ANVSA","AK",6325,2418829
