"popCode","descriptiveName","codeType","match","n_name","name_id"
"006","American Indian and Alaska Native alone","t","yes",2,85
"009","American Indian and Alaska Native alone or in combination with one or more other races","t","yes",1,88
"01C","Abenaki tribal grouping alone","t3","yes",1,3
"01D","Algonquian tribal grouping alone","t3","yes",1,61
"01F","Apache alone","t3","yes",2,114
"01I","Jicarilla Apache Nation alone","t3","yes",2,872
"01K","Mescalero Apache Tribe of the Mescalero Reservation, New Mexico alone","t3","yes",2,1145
"01L","Apache Tribe of Oklahoma alone","t3","yes",2,112
"01M","Tonto Apache Tribe of Arizona alone","t3","yes",2,2202
"01N","San Carlos Apache Tribe of the San Carlos Reservation alone","t3","yes",2,1895
"01O","White Mountain Apache Tribe of the Fort Apache Reservation, Arizona alone","t3","yes",2,2381
"01Q","Arapaho alone","t3","yes",2,120
"01R","Northern Arapaho alone","t3","yes",1,1493
"01U","Assiniboine alone","t3","yes",2,148
"01Z","Fort Peck Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation alone","t3","yes",1,695
"02C","Caddo tribal grouping alone","t3","yes",1,254
"02D","Caddo alone","t3","yes",2,252
"02F","Cahuilla tribal grouping alone","t3","yes",1,262
"02G","Cahuilla alone","t3","yes",2,260
"02I","Morongo Band of Cahuilla Mission Indians alone","t3","yes",1,1213
"02N","Yuki alone","t3","yes",2,2479
"02V","Catawba Indian Nation tribal grouping alone","t3","yes",1,276
"02Z","Quileute Tribe of the Quileute Reservation, Washington alone","t3","yes",2,1809
"03C","Cherokee alone","t3","yes",2,334
"03D","Cherokee Tribe of Northeast Alabama alone","t3","yes",2,332
"03E","Cher-O-Creek Intratribal Indians (Cherokees of Southeast Alabama) alone","t3","yes",1,316
"03F","Eastern Band of Cherokees alone","t3","yes",1,601
"03G","Echota Cherokee Tribe of Alabama alone","t3","yes",2,623
"03I","Northern Cherokee Nation of Missouri and Arkansas alone","t3","yes",2,1495
"03J","United Keetoowah Band of Cherokee alone","t3","yes",1,2266
"03N","Four Winds Cherokee alone","t3","yes",2,705
"03Q","Cheyenne alone","t3","yes",2,346
"03R","Northern Cheyenne Tribe of the Northern Cheyenne Reservation, Montana alone","t3","yes",2,1497
"03S","Southern Cheyenne alone","t3","yes",2,2064
"03U","Chickahominy tribal grouping alone","t3","yes",1,360
"03V","Chickahominy Indian Tribe alone","t3","yes",2,358
"03X","Chinook tribal grouping alone","t3","yes",1,387
"03Y","Chinook alone","t3","yes",2,385
"04A","Bad River Band of the Lake Superior Tribe alone","t3","yes",2,166
"04B","Bay Mills Indian Community alone","t3","yes",2,172
"04C","Bois Forte Band of Chippewa alone","t3","yes",1,222
"04D","Chippewa alone","t3","yes",2,391
"04E","Fond du Lac alone","t3","yes",1,669
"04F","Grand Portage alone","t3","yes",1,723
"04G","Grand Traverse Band of Ottawa and Chippewa Indians alone","t3","yes",2,729
"04H","Keweenaw Bay Indian Community alone","t3","yes",2,916
"04I","Lac Courte Oreilles Band of Lake Superior Chippewa alone","t3","yes",2,992
"04J","Lac du Flambeau alone","t3","yes",1,998
"04K","Lac Vieux Desert Band of Lake Superior Chippewa Indians alone","t3","yes",2,994
"04L","Lake Superior Chippewa alone","t3","yes",2,1002
"04M","Leech Lake alone","t3","yes",1,1010
"04N","Little Shell Tribe of Chippewa Indians of Montana alone","t3","yes",2,1025
"04O","Mille Lacs alone","t3","yes",1,1171
"04P","Minnesota Chippewa alone","t3","yes",2,1173
"04Q","Red Cliff Band of Lake Superior Chippewa alone","t3","yes",2,1825
"04R","Red Lake Band of Chippewa Indians alone","t3","yes",2,1827
"04S","Saginaw Chippewa Indian Tribe alone","t3","yes",2,1868
"04T","St. Croix Chippewa alone","t3","yes",1,2078
"04U","Sault Ste. Marie Tribe of Chippewa Indians alone","t3","yes",2,1929
"04V","Sokaogon Chippewa Community alone","t3","yes",2,2054
"04W","Turtle Mountain Band of Chippewa Indians of North Dakota alone","t3","yes",2,2232
"04X","White Earth alone","t3","yes",1,2379
"04Y","Chippewa-Cree Indians of the Rocky Boy's Reservation tribal grouping alone","t3","yes",1,395
"04Z","Chitimacha tribal grouping alone","t3","yes",1,401
"05B","Choctaw alone","t3","yes",2,405
"05C","Mississippi Band of Choctaw Indians alone","t3","yes",2,1179
"05D","MOWA Band of Choctaw Indians alone","t3","yes",2,1073
"05E","Choctaw Nation of Oklahoma alone","t3","yes",1,403
"05F","Choctaw-Apache Community of Ebarb tribal grouping alone","t3","yes",1,411
"05G","Chumash tribal grouping alone","t3","yes",1,423
"05H","Chumash alone","t3","yes",2,421
"05J","Coeur D'Alene tribal grouping alone","t3","yes",1,443
"05K","Coharie Indian tribal grouping alone","t3","yes",1,447
"05L","Colorado River Indian Tribes tribal grouping alone","t3","yes",1,453
"05Q","Coquille Indian tribal grouping alone","t3","yes",1,513
"05R","Costanoan tribal grouping alone","t3","yes",1,519
"05S","Coushatta tribal grouping alone","t3","yes",1,525
"05T","Alabama-Coushatta Tribes of Texas alone","t3","yes",1,31
"05U","Coushatta alone","t3","yes",2,523
"05V","Cowlitz Indian tribal grouping alone","t3","yes",1,533
"05Z","Muscogee (Creek) Nation alone","t3","yes",1,1223
"06A","Eastern Creek alone","t3","yes",2,603
"06B","Lower Muscogee Creek Tama Tribal Town alone","t3","yes",1,1047
"06C","MaChis Lower Creek Indian Tribe alone","t3","yes",1,1077
"06D","Poarch Band of Creek Indians alone","t3","yes",1,1693
"06F","Cupeno tribal grouping alone","t3","yes",1,563
"06O","Ramapough Lenape Nation (Ramapough Mountain) alone","t3","yes",2,1815
"06P","Diegueno (Kumeyaay) tribal grouping alone","t3","yes",1,583
"06Q","Barona Group of Capitan Grande Band alone","t3","yes",2,170
"06R","Diegueno (Kumeyaay) alone","t3","yes",1,581
