"popCode","descriptiveName","raceCodeList_census","raceCodeList_edited","popGrp_category","inCombo"
"006","American Indian and Alaska Native alone","5000:6999","5000:6999",1,0
"009","American Indian and Alaska Native alone or in combination with one or more other races","5000:6999","5000:6999",1,1
"01C","Abenaki tribal grouping alone","5505:5509","5505,5506,5507,5508",1,0
"01D","Algonquian tribal grouping alone","5512:5513","5512",2,0
"01F","Apache alone","5514","5514",0,0
"01I","Jicarilla Apache Nation alone","5517","5517",0,0
"01K","Mescalero Apache Tribe of the Mescalero Reservation, New Mexico alone","5519","5519",0,0
"01L","Apache Tribe of Oklahoma alone","5515","5515",0,0
"01M","Tonto Apache Tribe of Arizona alone","5521","5521",0,0
"01N","San Carlos Apache Tribe of the San Carlos Reservation alone","5520","5520",0,0
"01O","White Mountain Apache Tribe of the Fort Apache Reservation, Arizona alone","5522","5522",0,0
"01Q","Arapaho alone","5524","5524",0,0
"01R","Northern Arapaho alone","5526","5526",0,0
"01U","Assiniboine alone","5529","5529",0,0
"01Z","Fort Peck Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation alone","5531","5531",0,0
"02C","Caddo tribal grouping alone","5551:5555","5551,5552,5553,5554",1,0
"02D","Caddo alone","5551","5551",0,0
"02F","Cahuilla tribal grouping alone","5556:5565","5556,5557,5558,5559,5560,5561,5562,5563,5564",1,0
"02G","Cahuilla alone","5556","5556",0,0
"02I","Morongo Band of Cahuilla Mission Indians alone","5561","5561",0,0
"02N","Yuki alone","5580","5580",0,0
"02V","Catawba Indian Nation tribal grouping alone","5586:5587","5586",2,0
"02Z","Quileute Tribe of the Quileute Reservation, Washington alone","5594","5594",0,0
"03C","Cherokee alone","5599","5599",0,0
"03D","Cherokee Tribe of Northeast Alabama alone","5605","5605",0,0
"03E","Cher-O-Creek Intratribal Indians (Cherokees of Southeast Alabama) alone","5600","5600",0,0
"03F","Eastern Band of Cherokees alone","5606","5606",0,0
"03G","Echota Cherokee Tribe of Alabama alone","5607","5607",0,0
"03I","Northern Cherokee Nation of Missouri and Arkansas alone","5610","5610",0,0
"03J","United Keetoowah Band of Cherokee alone","5616","5616",0,0
"03N","Four Winds Cherokee alone","5608","5608",0,0
"03Q","Cheyenne alone","5619","5619",0,0
