id_AK,id_temp,FRN_NameAsPublished,FRN_Date
TR48,27,Absentee-Shawnee Tribe of Indians of Oklahoma,12/11/2024
AKNV,5,Agdaagux Tribe of King Cove,12/11/2024
TR48,4,"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",12/11/2024
TR48,8,Ak-Chin Indian Community,12/11/2024
AKNV,7,Akiachak Native Community,12/11/2024
AKNV,10,Akiak Native Community,12/11/2024
TR48,15,Alabama-Coushatta Tribe of Texas,12/11/2024
TR48,18,Alabama-Quassarte Tribal Town,12/11/2024
AKNV,14,Alatna Village,12/11/2024
AKNV,16,Algaaciq Native Village (St. Mary's),12/11/2024
AKNV,12,Allakaket Village,12/11/2024
TR48,20,"Alturas Indian Rancheria, California",12/11/2024
AKNV,19,Alutiiq Tribe of Old Harbor,12/11/2024
AKNV,22,Angoon Community Association,12/11/2024
AKNV,24,Anvik Village,12/11/2024
TR48,25,Apache Tribe of Oklahoma,12/11/2024
AKNV,26,Arctic Village (See Native Village of Venetie Tribal Government),12/11/2024
AKNV,2,Asa'carsarmiut Tribe,12/11/2024
TR48,28,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana",12/11/2024
TR48,6,"Augustine Band of Cahuilla Indians, California",12/11/2024
TR48,52,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",12/11/2024
TR48,54,"Bay Mills Indian Community, Michigan",12/11/2024
TR48,34,"Bear River Band of the Rohnerville Rancheria, California",12/11/2024
AKNV,35,Beaver Village,12/11/2024
TR48,49,Berry Creek Rancheria of Maidu Indians of California,12/11/2024
TR48,37,"Big Lagoon Rancheria, California",12/11/2024
TR48,38,Big Pine Paiute Tribe of the Owens Valley,12/11/2024
TR48,39,Big Sandy Rancheria of Western Mono Indians of California,12/11/2024
TR48,40,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",12/11/2024
AKNV,42,Birch Creek Tribe,12/11/2024
TR48,43,Bishop Paiute Tribe,12/11/2024
TR48,44,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,12/11/2024
TR48,47,"Blue Lake Rancheria, California",12/11/2024
TR48,51,Bridgeport Indian Colony,12/11/2024
TR48,48,Buena Vista Rancheria of Me-Wuk Indians of California,12/11/2024
TR48,53,Burns Paiute Tribe,12/11/2024
TR48,61,"Cabazon Band of Cahuilla Indians (previously listed as Cabazon Band of Mission Indians, California)",12/11/2024
TR48,63,"Cachil DeHe Band of Wintun Indians of the Colusa Indian Community of the Colusa Rancheria, California",12/11/2024
TR48,55,Caddo Nation of Oklahoma,12/11/2024
TR48,56,Cahto Tribe of the Laytonville Rancheria,12/11/2024
TR48,94,Cahuilla Band of Indians,12/11/2024
TR48,59,"California Valley Miwok Tribe, California",12/11/2024
TR48,100,"Campo Band of Diegueno Mission Indians of the Campo Indian Reservation, California",12/11/2024
TR48,57,"Capitan Grande Band of Diegueno Mission Indians of California (Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California; Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California)",12/11/2024
TR48,58,Catawba Indian Nation,12/11/2024
TR48,60,Cayuga Nation,12/11/2024
TR48,64,"Cedarville Rancheria, California",12/11/2024
AKNV,506,Central Council of the Tlingit & Haida Indian Tribes,12/11/2024
AKNV,81,Chalkyitsik Village,12/11/2024
AKNV,86,Cheesh-Na Tribe,12/11/2024
TR48,82,"Chemehuevi Indian Tribe of the Chemehuevi Reservation, California",12/11/2024
TR48,84,"Cher-Ae Heights Indian Community of the Trinidad Rancheria, California",12/11/2024
TR48,78,Cherokee Nation,12/11/2024
