"","GEOID","dec.NAME","dec.total","dec.A","dec.AoIC","dec.pct_AIAN","dec.A_AoIC","acs.NAME","acs.total","acs.A","acs.AoIC","acs.pct_AIAN","acs.A_AoIC"
"1","0010","Acoma Pueblo and Off-Reservation Trust Land, NM",3230,3043,3113,0.963777089783282,0.977513652425313,"Acoma Pueblo and Off-Reservation Trust Land, NM",3605,3397,3464,0.960887656033287,0.980658198614319
"2","0020","Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA",27090,333,825,0.0304540420819491,0.403636363636364,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA",28392,274,756,0.0266272189349112,0.362433862433862
"3","0050","Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX",679,589,609,0.896907216494845,0.967159277504105,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX",630,452,561,0.89047619047619,0.805704099821747
"4","0080","Allegany Reservation, NY",6664,1875,2354,0.353241296518607,0.796516567544605,"Allegany Reservation, NY",6005,1274,1532,0.255120732722731,0.831592689295039
"5","0095","Alturas Indian Rancheria, CA",3,2,3,1,0.666666666666667,"Alturas Indian Rancheria, CA",0,0,0,NA,NA
"6","0110","Annette Island Reserve, AK",1562,1195,1373,0.879001280409731,0.870356882738529,"Annette Island Reserve, AK",1334,967,1163,0.871814092953523,0.831470335339639
"7","0115","Aroostook Band of Micmac Trust Land, ME",202,117,144,0.712871287128713,0.8125,"Aroostook Band of Micmac Trust Land, ME",207,152,186,0.898550724637681,0.817204301075269
"8","0120","Auburn Rancheria and Off-Reservation Trust Land, CA",2,0,1,0.5,0,"Auburn Rancheria and Off-Reservation Trust Land, CA",0,0,0,NA,NA
"9","0125","Augustine Reservation, CA",0,0,0,NA,NA,"Augustine Reservation, CA",0,0,0,NA,NA
"10","0140","Bad River Reservation, WI",1545,1176,1230,0.796116504854369,0.95609756097561,"Bad River Reservation, WI",1279,892,953,0.745113369820172,0.935991605456453
"11","0155","Barona Reservation and Off-Reservation Trust Land, CA",756,550,611,0.808201058201058,0.900163666121113,"Barona Reservation and Off-Reservation Trust Land, CA",485,250,290,0.597938144329897,0.862068965517241
"12","0165","Battle Mountain Reservation and Off-Reservation Trust Land, NV",142,120,124,0.873239436619718,0.967741935483871,"Battle Mountain Reservation and Off-Reservation Trust Land, NV",146,78,109,0.746575342465753,0.715596330275229
"13","0170","Bay Mills Reservation and Off-Reservation Trust Land, MI",1032,762,864,0.837209302325581,0.881944444444444,"Bay Mills Reservation and Off-Reservation Trust Land, MI",1129,772,927,0.821080602302923,0.832793959007551
"14","0185","Benton Paiute Reservation and Off-Reservation Trust Land, CA",84,21,31,0.369047619047619,0.67741935483871,"Benton Paiute Reservation and Off-Reservation Trust Land, CA",72,53,61,0.847222222222222,0.868852459016393
"15","0200","Berry Creek Rancheria and Off-Reservation Trust Land, CA",153,83,108,0.705882352941177,0.768518518518518,"Berry Creek Rancheria and Off-Reservation Trust Land, CA",121,62,80,0.661157024793388,0.775
"16","0215","Big Bend Rancheria, CA",5,2,2,0.4,1,"Big Bend Rancheria, CA",0,0,0,NA,NA
"17","0225","Big Cypress Reservation, FL",239,54,68,0.284518828451883,0.794117647058823,"Big Cypress Reservation, FL",321,283,289,0.900311526479751,0.97923875432526
"18","0240","Big Lagoon Rancheria, CA",17,17,17,1,1,"Big Lagoon Rancheria, CA",0,0,0,NA,NA
"19","0250","Big Pine Reservation and Off-Reservation Trust Land, CA",571,435,475,0.831873905429072,0.91578947368421,"Big Pine Reservation and Off-Reservation Trust Land, CA",486,309,357,0.734567901234568,0.865546218487395
"20","0265","Big Sandy Rancheria and Off-Reservation Trust Land, CA",175,137,143,0.817142857142857,0.958041958041958,"Big Sandy Rancheria and Off-Reservation Trust Land, CA",118,94,111,0.940677966101695,0.846846846846847
"21","0275","Big Valley Rancheria, CA",191,150,164,0.858638743455497,0.914634146341463,"Big Valley Rancheria, CA",317,250,305,0.962145110410095,0.819672131147541
"22","0290","Bishop Reservation, CA",1907,1345,1451,0.760880964866282,0.926946933149552,"Bishop Reservation, CA",2340,1318,1521,0.65,0.866535174227482
"23","0305","Blackfeet Indian Reservation and Off-Reservation Trust Land, MT",10764,9058,9476,0.88034188034188,0.955888560574082,"Blackfeet Indian Reservation and Off-Reservation Trust Land, MT",10199,8644,8809,0.863712128640063,0.981269156544443
"24","0325","Blue Lake Rancheria and Off-Reservation Trust Land, CA",112,30,54,0.482142857142857,0.555555555555556,"Blue Lake Rancheria and Off-Reservation Trust Land, CA",121,35,45,0.371900826446281,0.777777777777778
"25","0335","Bois Forte Reservation and Off-Reservation Trust Land, MN",984,688,756,0.768292682926829,0.91005291005291,"Bois Forte Reservation and Off-Reservation Trust Land, MN",784,498,535,0.682397959183674,0.930841121495327
"26","0350","Bridgeport Reservation and Off-Reservation Trust Land, CA",46,14,22,0.478260869565217,0.636363636363636,"Bridgeport Reservation and Off-Reservation Trust Land, CA",27,27,27,1,1
"27","0360","Brighton Reservation, FL",438,151,184,0.420091324200913,0.820652173913043,"Brighton Reservation, FL",426,245,275,0.645539906103286,0.890909090909091
"28","0400","Burns Paiute Indian Colony and Off-Reservation Trust Land, OR",133,99,124,0.932330827067669,0.798387096774194,"Burns Paiute Indian Colony and Off-Reservation Trust Land, OR",150,81,111,0.74,0.72972972972973
"29","0415","Cabazon Reservation, CA",192,23,30,0.15625,0.766666666666667,"Cabazon Reservation, CA",307,17,30,0.0977198697068404,0.566666666666667
"30","0435","Cahuilla Reservation, CA",229,211,213,0.930131004366812,0.990610328638498,"Cahuilla Reservation, CA",65,33,43,0.661538461538462,0.767441860465116
"31","0440","Campbell Ranch, NV",291,177,205,0.70446735395189,0.863414634146341,"Campbell Ranch, NV",283,209,234,0.826855123674912,0.893162393162393
"32","0450","Campo Indian Reservation, CA",398,256,283,0.71105527638191,0.904593639575972,"Campo Indian Reservation, CA",455,295,361,0.793406593406593,0.817174515235457
"33","0495","Capitan Grande Reservation, CA",0,0,0,NA,NA,"Capitan Grande Reservation, CA",0,0,0,NA,NA
"34","0510","Carson Colony, NV",238,198,216,0.907563025210084,0.916666666666667,"Carson Colony, NV",283,242,252,0.890459363957597,0.96031746031746
"35","0525","Catawba Reservation and Off-Reservation Trust Land, SC",849,556,671,0.790341578327444,0.828614008941878,"Catawba Reservation and Off-Reservation Trust Land, SC",789,432,506,0.641318124207858,0.853754940711462
"36","0540","Cattaraugus Reservation, NY",2676,1654,1793,0.670029895366218,0.922476296709426,"Cattaraugus Reservation, NY",1977,1193,1442,0.729387961557916,0.827323162274619
